date,ticker,summary_v1
2025-05-26,AAPL,"株価は 195.27 ドル、1 か月で約 6% 下落も時価総額は 2.9 兆ドルと依然巨額。／PER 30.4 倍で大型テック平均を上回り、成長プレミアムが継続して評価される。／直近 5 営業日は出来高増を伴う続落で 200 ドルを一時割り込み、調整色が濃い。／機関投資家の持ち株売却報道が相次ぐ一方、買い増し例もあり需給は拮抗。／iPhone 需要減速懸念と株主還元期待が綱引き、当面はレンジ推移の公算大。／投資判断：★★★☆☆"
2025-05-31,AAPL,"- AAPLの株価は200.85ドル、時価総額は約3兆ドル。
- P/E比率は31.14で、成長期待が反映されている。
- 最近の株価は上昇傾向にあり、取引量も活発。
- 競合のAI技術に遅れをとっているとの報道が影響。
- 投資家の間での評価は分かれている。

投資判断：★★★☆☆"
2025-05-31,AAPL,"- AAPLの株価は200.85ドル、時価総額は約3兆ドル。
- P/E比率は31.24で、成長期待を反映。
- 直近の取引では、株価は安定しており、上昇傾向。
- iPhoneが世界で最も売れているスマートフォンとして好調。
- AI関連の取り組みで新たな展開が期待されている。

投資判断：★★★★☆"
2025-06-01,AAPL,"- AAPLの株価は200.85ドルで、時価総額は約3兆ドル。
- P/E比率は31.24で、成長性を反映。
- 直近の取引では、株価は193.67ドルから上昇。
- テクノロジー株として注目されており、競合他社と比較しても堅調。
- 一部の機関投資家が保有株を減少させている。

投資判断: ★★★★☆"
2025-06-02,AAPL,"- AAPLの株価は201.7ドル、時価総額は約3兆ドル。
- PERは31.37で、成長期待が反映されている。
- 直近の取引では、株価は安定して200ドル台を維持。
- 今年の株価は20%下落し、競合に後れを取っている。
- 投資家は慎重に動向を見守る必要がある。

投資判断：★★★☆☆"
2025-06-03,AAPL,"- AAPLの株価は201.7ドル、時価総額は約3兆ドル。
- PERは31.47で、成長期待が反映されている。
- 最近の取引では、株価は安定しており、ボリュームも高い。
- 投資家の関心が高まり、複数のファンドが持ち株を増加。
- フィットネス関連株として注目されている。

投資判断：★★★★☆"
2025-06-03,AAPL,"- AAPLの株価は201.7ドル、時価総額は約301兆円。
- P/E比率は31.47で、成長期待が高い。
- 最近の株価は200ドル前後で推移。
- 投資家の関心が高まり、複数のファンドが持ち株を増加。
- 健康関連株として注目されている。

投資判断：★★★★☆"
2025-06-03,AAPL,"- AAPLの株価は203.27ドル、時価総額は約3兆0360億ドル。
- PERは31.71と高めで、成長期待が反映されている。
- 直近の取引では、株価は上昇傾向を示している。
- 過去10年間で年平均20.27%のリターンを達成。
- 長期投資において魅力的な選択肢と評価されている。

投資判断：★★★★☆"
2025-06-04,AAPL,"- AAPLの株価は2025年6月4日現在、202.82ドル。
- 時価総額は約3兆0293億ドル、P/E比は31.59。
- 直近の取引では、株価は安定しており、上昇傾向。
- Nvidiaが市場価値でMicrosoftを抜き、注目を集めている。
- マグニフィセントセブンの成長が他企業を上回っている。

投資判断：★★★★☆"
2025-06-05,AAPL,"- AAPLの株価は200.63ドル、時価総額は約2.99兆ドル。
- P/E比率は31.20で、成長期待が反映されている。
- 直近の取引では、株価は安定しており、ボリュームも高め。
- WWDC 2025でのAI競争への対応が注目されている。
- 市場は「スーパサイクル」に期待を寄せている。

投資判断: ★★★★☆"
2025-06-06,AAPL,"- AAPLの株価は203.92ドル、市場価値は304.57兆ドル。
- P/E比率は31.76で、成長期待を反映。
- 最近の株価は変動があり、特に6月3日に203.27ドルの高値を記録。
- Appleはアプリ内課金の手数料に関する裁判で敗北。
- Microsoftの株価がAIブームで急騰し、競争が激化。

投資判断: ★★★☆☆"
2025-06-07,AAPL,"- AAPLの株価は203.92ドル、時価総額は約3兆0457億ドル。
- PERは31.76で、成長期待が反映されている。
- 直近の取引では、株価は202.13ドルから205.70ドルの範囲で推移。
- 「マグニフィセント7」の影響で市場全体が不安定な状況。
- AppleとDisneyの比較が注目され、投資判断に影響を与える可能性。

投資判断: ★★★★☆"
2025-06-08,AAPL,"- AAPLの株価は203.92ドル、時価総額は約3兆0457億ドル。
- P/E比は31.76で、成長期待が反映されている。
- 最近の株価は202.13ドルから206.24ドルの間で推移。
- アナリストからのダウングレード情報があり、投資家の懸念材料。
- 新たに購入したファンドもあり、需給は安定している。

投資判断：★★★☆☆"
2025-06-09,AAPL,"- AAPLの株価は201.45ドル、時価総額は約3兆ドル。
- P/E比率は31.38で、成長期待を反映。
- 最近の取引では、株価は高値206ドルに達したが、現在は下落傾向。
- 経済データに敏感な市場で、リセッションリスクが懸念されている。
- WWDC開催が控えており、新製品発表の期待が高まる。

投資判断：★★★★☆"
2025-06-10,AAPL,"- AAPLの株価は2025年6月10日現在、202.67ドル。時価総額は約3兆ドル。
- P/E比率は31.52で、成長期待を反映。過去数日間の価格変動は小幅。
- ニュースでは、AppleがChatGPTとの提携拡大やiPadの機能向上を発表。
- 一方で、関税やスマートフォン需要の低下が懸念材料として報じられている。
- 総じて、成長の可能性とリスクが混在している状況。

投資判断：★★★☆☆"
2025-06-11,AAPL,"- AAPLの株価は198.78ドル、時価総額は約2.97兆ドル。
- P/E比は30.72で、成長期待が反映されている。
- 直近の株価は下落傾向で、ボリュームは高め。
- 新製品やソフトウェアの発表が話題だが、AI関連の反応は冷ややか。
- 投資家は慎重に動向を見守る必要がある。

投資判断：★★★☆☆"
2025-06-12,AAPL,"- AAPLの株価は199.2ドル、時価総額は約2.98兆ドル。
- P/E比率は31.03で、成長期待を反映。
- WWDC 2025後、株価が下落し、AI戦略への懸念が広がる。
- 競争が激化する中、Appleの業界比較が重要視されている。
- 投資家は慎重に動向を見守る必要がある。

投資判断：★★★☆☆"
2025-06-13,AAPL,"- AAPLの株価は196.45ドル、時価総額は約2.93兆ドル。
- P/E比率は30.65で、成長期待が反映されている。
- 直近の株価は下落傾向で、6月9日からの5日間で約7ドル下落。
- ニュースでは、AnkerやSatechiの新製品が発表され、Apple製品との関連性が注目されている。
- マクロ経済の影響で半導体産業が活発化しており、AAPLにも好影響の可能性。

投資判断：★★★★☆"
2025-06-14,AAPL,"- AAPLの株価は196.45ドル、時価総額は約2.93兆ドル。
- P/E比率は30.60で、成長期待が反映されている。
- 直近の取引では株価が下落傾向にあり、特にWWDCのAI発表が失望を招いた。
- Wedbush Securitiesが保有株を5.1%減少させたとの報道あり。
- 競争が激化する中、投資判断には慎重さが求められる。

投資判断: ★★★☆☆"
2025-06-15,AAPL,"- AAPLの株価は196.45ドル、時価総額は約2.93兆ドル。
- PERは30.6と高めで、成長期待が反映されている。
- 直近の株価は下落傾向で、6月9日からの5日間で約4%減少。
- 音楽関連株として注目されており、投資家の関心が高まっている。
- 新たな投資家も参入しており、長期的な成長が期待される。

投資判断：★★★★☆"
